Id	Category Id	Category	Anatomic Site Id	Anatomic Site	Subsite Id	Subsite	Diagnosis Id	Diagnosis	Diagnosis Modifier Id	Diagnosis Modifier	Combined Diagnosis	Combined Diagnosis Id
952SS76	C6	MALIGNANT	S57	LYMPH NODE	SS76	HILAR	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS33	C6	MALIGNANT	S57	LYMPH NODE	SS33	CERVICAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS21	C6	MALIGNANT	S57	LYMPH NODE	SS21	BRONCHIAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS16	C6	MALIGNANT	S57	LYMPH NODE	SS16	AXILLARY	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
952SS2	C6	MALIGNANT	S57	LYMPH NODE	SS2	ABDOMINAL	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
194	C6	MALIGNANT					D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS195	C6	MALIGNANT	S65	BONE MARROW	SS195	VERTEBRAL COLUMN	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS168	C6	MALIGNANT	S65	BONE MARROW	SS168	STERNUM	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS153	C6	MALIGNANT	S65	BONE MARROW	SS153	RIB	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS130	C6	MALIGNANT	S65	BONE MARROW	SS130	PELVIC GIRDLE	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS86	C6	MALIGNANT	S65	BONE MARROW	SS86	ILIAC CREST	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
495SS60	C6	MALIGNANT	S65	BONE MARROW	SS60	FEMUR	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
413SS198	C6	MALIGNANT	S22	BLOOD	SS198	WHOLE BLOOD	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
413SS159	C6	MALIGNANT	S22	BLOOD	SS159	SERUM	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
413SS140	C6	MALIGNANT	S22	BLOOD	SS140	PLASMA	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
413SS23	C6	MALIGNANT	S22	BLOOD	SS23	BUFFY COAT	D1	LYMPHOMA MATURE T-CELL TYPE	DM1	T-CELL PROLYMPHOCYTIC	LYMPHOMA MATURE T-CELL TYPE \ T-CELL PROLYMPHOCYTIC	CD925
2131							D2	LYMPHOMATOID GRANULOMATOSIS	DM2		LYMPHOMATOID GRANULOMATOSIS	CD926
195	C2	DISEASE					D2	LYMPHOMATOID GRANULOMATOSIS	DM2		LYMPHOMATOID GRANULOMATOSIS	CD926
1424SS1	C5	PRE-INVASIVE NEOPLASIA	S50	SPLEEN	SS1	NONE	D3	LYMPHOPROLIFERATIVE	DM2		LYMPHOPROLIFERATIVE	CD927
1774							D3	LYMPHOPROLIFERATIVE	DM2		LYMPHOPROLIFERATIVE	CD927
1268SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1268SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
1949							D4	MASTOCYTOSIS	DM2		MASTOCYTOSIS	CD928
2160							D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
521SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D5	MEDULLOBLASTOMA	DM2		MEDULLOBLASTOMA	CD929
522SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
522SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D5	MEDULLOBLASTOMA	DM3	ANAPLASTIC	MEDULLOBLASTOMA \ ANAPLASTIC	CD930
523SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
523SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D5	MEDULLOBLASTOMA	DM4	LARGE CELL	MEDULLOBLASTOMA \ LARGE CELL	CD931
2086							D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
702SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
524SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D6	MEDULLOEPITHELIOMA	DM2		MEDULLOEPITHELIOMA	CD932
1603SS96	C6	MALIGNANT	S78	VULVA	SS96	LABIA MINOR	D7	MELANOMA	DM2		MELANOMA	CD933
1603SS95	C6	MALIGNANT	S78	VULVA	SS95	LABIA MAJOR	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D7	MELANOMA	DM2		MELANOMA	CD933
2251SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D7	MELANOMA	DM2		MELANOMA	CD933
2248SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D7	MELANOMA	DM2		MELANOMA	CD933
1911							D7	MELANOMA	DM2		MELANOMA	CD933
40SS1	C6	MALIGNANT	S6	ANUS	SS1	NONE	D7	MELANOMA	DM2		MELANOMA	CD933
1269SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
1269SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D7	MELANOMA	DM5	AMELANOTIC	MELANOMA \ AMELANOTIC	CD934
703SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
703SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
703SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
703SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
703SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
703SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D7	MELANOMA	DM6	UVEAL	MELANOMA \ UVEAL	CD935
525SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
525SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D8	MENINGIOMA	DM7	ANGIOMATOUS (VASCULAR)	MENINGIOMA \ ANGIOMATOUS (VASCULAR)	CD936
