Id	Cat Id	Category	AS Id	Anatomic Site	SubS Id	Subsite	DX Id	Diagnosis
521SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D929	MEDULLOBLASTOMA
522SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D930	MEDULLOBLASTOMA \ ANAPLASTIC
522SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D930	MEDULLOBLASTOMA \ ANAPLASTIC
523SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D931	MEDULLOBLASTOMA \ LARGE CELL
523SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D931	MEDULLOBLASTOMA \ LARGE CELL
2086							D932	MEDULLOEPITHELIOMA
702SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D932	MEDULLOEPITHELIOMA
702SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D932	MEDULLOEPITHELIOMA
702SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D932	MEDULLOEPITHELIOMA
702SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D932	MEDULLOEPITHELIOMA
702SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D932	MEDULLOEPITHELIOMA
702SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D932	MEDULLOEPITHELIOMA
524SS192	C6	MALIGNANT	S31	BRAIN	SS192	VENTRICLE	D932	MEDULLOEPITHELIOMA
524SS177	C6	MALIGNANT	S31	BRAIN	SS177	THALAMUS	D932	MEDULLOEPITHELIOMA
524SS176	C6	MALIGNANT	S31	BRAIN	SS176	TEMPORAL	D932	MEDULLOEPITHELIOMA
524SS126	C6	MALIGNANT	S31	BRAIN	SS126	PARIETAL	D932	MEDULLOEPITHELIOMA
524SS119	C6	MALIGNANT	S31	BRAIN	SS119	OCCIPITAL	D932	MEDULLOEPITHELIOMA
524SS82	C6	MALIGNANT	S31	BRAIN	SS82	HYPOTHALAMUS	D932	MEDULLOEPITHELIOMA
524SS78	C6	MALIGNANT	S31	BRAIN	SS78	HIPPOCAMPUS	D932	MEDULLOEPITHELIOMA
524SS67	C6	MALIGNANT	S31	BRAIN	SS67	FRONTAL	D932	MEDULLOEPITHELIOMA
524SS49	C6	MALIGNANT	S31	BRAIN	SS49	DURA/MENINGES	D932	MEDULLOEPITHELIOMA
524SS42	C6	MALIGNANT	S31	BRAIN	SS42	CORTEX	D932	MEDULLOEPITHELIOMA
524SS40	C6	MALIGNANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D932	MEDULLOEPITHELIOMA
524SS35	C6	MALIGNANT	S31	BRAIN	SS35	CHOROID PLEXUS	D932	MEDULLOEPITHELIOMA
524SS31	C6	MALIGNANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D932	MEDULLOEPITHELIOMA
524SS29	C6	MALIGNANT	S31	BRAIN	SS29	CEREBELLUM	D932	MEDULLOEPITHELIOMA
524SS17	C6	MALIGNANT	S31	BRAIN	SS17	BASAL GANGLIA	D932	MEDULLOEPITHELIOMA
1603SS96	C6	MALIGNANT	S78	VULVA	SS96	LABIA MINOR	D933	MELANOMA
1603SS95	C6	MALIGNANT	S78	VULVA	SS95	LABIA MAJOR	D933	MELANOMA
2251SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D933	MELANOMA
2251SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D933	MELANOMA
2251SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D933	MELANOMA
2251SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D933	MELANOMA
2251SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D933	MELANOMA
2251SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D933	MELANOMA
2251SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D933	MELANOMA
2251SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D933	MELANOMA
2251SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D933	MELANOMA
2251SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D933	MELANOMA
2248SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D933	MELANOMA
2248SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D933	MELANOMA
2248SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D933	MELANOMA
2248SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D933	MELANOMA
2248SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D933	MELANOMA
2248SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D933	MELANOMA
1911							D933	MELANOMA
40SS1	C6	MALIGNANT	S6	ANUS	SS1	NONE	D933	MELANOMA
1269SS157	C6	MALIGNANT	S1	SKIN	SS157	SEBACEOUS GLAND	D934	MELANOMA \ AMELANOTIC
1269SS156	C6	MALIGNANT	S1	SKIN	SS156	SCALP	D934	MELANOMA \ AMELANOTIC
1269SS98	C6	MALIGNANT	S1	SKIN	SS98	LEG	D934	MELANOMA \ AMELANOTIC
1269SS73	C6	MALIGNANT	S1	SKIN	SS73	GLANDS	D934	MELANOMA \ AMELANOTIC
1269SS66	C6	MALIGNANT	S1	SKIN	SS66	FOREHEAD	D934	MELANOMA \ AMELANOTIC
1269SS65	C6	MALIGNANT	S1	SKIN	SS65	FOOT	D934	MELANOMA \ AMELANOTIC
1269SS57	C6	MALIGNANT	S1	SKIN	SS57	EYELID	D934	MELANOMA \ AMELANOTIC
1269SS19	C6	MALIGNANT	S1	SKIN	SS19	BREAST	D934	MELANOMA \ AMELANOTIC
1269SS8	C6	MALIGNANT	S1	SKIN	SS8	ARM	D934	MELANOMA \ AMELANOTIC
1269SS2	C6	MALIGNANT	S1	SKIN	SS2	ABDOMINAL	D934	MELANOMA \ AMELANOTIC
703SS199	C6	MALIGNANT	S58	EYE	SS199	WHOLE GLOBE	D935	MELANOMA \ UVEAL
703SS152	C6	MALIGNANT	S58	EYE	SS152	RETINA	D935	MELANOMA \ UVEAL
703SS99	C6	MALIGNANT	S58	EYE	SS99	LENS	D935	MELANOMA \ UVEAL
703SS97	C6	MALIGNANT	S58	EYE	SS97	LACRIMAL GLAND	D935	MELANOMA \ UVEAL
703SS39	C6	MALIGNANT	S58	EYE	SS39	CORNEA	D935	MELANOMA \ UVEAL
703SS37	C6	MALIGNANT	S58	EYE	SS37	CONJUNCTIVA	D935	MELANOMA \ UVEAL
525SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
525SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D936	MENINGIOMA \ ANGIOMATOUS (VASCULAR)
526SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D937	MENINGIOMA \ ATYPICAL
526SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D937	MENINGIOMA \ ATYPICAL
526SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D937	MENINGIOMA \ ATYPICAL
526SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D937	MENINGIOMA \ ATYPICAL
526SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D937	MENINGIOMA \ ATYPICAL
526SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D937	MENINGIOMA \ ATYPICAL
526SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D937	MENINGIOMA \ ATYPICAL
526SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D937	MENINGIOMA \ ATYPICAL
526SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D937	MENINGIOMA \ ATYPICAL
526SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D937	MENINGIOMA \ ATYPICAL
526SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D937	MENINGIOMA \ ATYPICAL
526SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D937	MENINGIOMA \ ATYPICAL
526SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D937	MENINGIOMA \ ATYPICAL
526SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D937	MENINGIOMA \ ATYPICAL
526SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D937	MENINGIOMA \ ATYPICAL
527SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D938	MENINGIOMA \ CLEAR CELL
527SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D938	MENINGIOMA \ CLEAR CELL
527SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D938	MENINGIOMA \ CLEAR CELL
527SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D938	MENINGIOMA \ CLEAR CELL
527SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D938	MENINGIOMA \ CLEAR CELL
527SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D938	MENINGIOMA \ CLEAR CELL
527SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D938	MENINGIOMA \ CLEAR CELL
527SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D938	MENINGIOMA \ CLEAR CELL
527SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D938	MENINGIOMA \ CLEAR CELL
527SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D938	MENINGIOMA \ CLEAR CELL
527SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D938	MENINGIOMA \ CLEAR CELL
527SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D938	MENINGIOMA \ CLEAR CELL
527SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D938	MENINGIOMA \ CLEAR CELL
527SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D938	MENINGIOMA \ CLEAR CELL
527SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D938	MENINGIOMA \ CLEAR CELL
528SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D939	MENINGIOMA \ EPITHELIOID
528SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D939	MENINGIOMA \ EPITHELIOID
528SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D939	MENINGIOMA \ EPITHELIOID
528SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D939	MENINGIOMA \ EPITHELIOID
528SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D939	MENINGIOMA \ EPITHELIOID
528SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D939	MENINGIOMA \ EPITHELIOID
528SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D939	MENINGIOMA \ EPITHELIOID
528SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D939	MENINGIOMA \ EPITHELIOID
528SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D939	MENINGIOMA \ EPITHELIOID
528SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D939	MENINGIOMA \ EPITHELIOID
528SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D939	MENINGIOMA \ EPITHELIOID
528SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D939	MENINGIOMA \ EPITHELIOID
528SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D939	MENINGIOMA \ EPITHELIOID
528SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D939	MENINGIOMA \ EPITHELIOID
528SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D939	MENINGIOMA \ EPITHELIOID
529SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D940	MENINGIOMA \ FIBROBLASTIC
529SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D940	MENINGIOMA \ FIBROBLASTIC
529SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D940	MENINGIOMA \ FIBROBLASTIC
529SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D940	MENINGIOMA \ FIBROBLASTIC
529SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D940	MENINGIOMA \ FIBROBLASTIC
529SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D940	MENINGIOMA \ FIBROBLASTIC
529SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D940	MENINGIOMA \ FIBROBLASTIC
529SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D940	MENINGIOMA \ FIBROBLASTIC
529SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D940	MENINGIOMA \ FIBROBLASTIC
529SS42	C1	INDETERMINANT	S31	BRAIN	SS42	CORTEX	D940	MENINGIOMA \ FIBROBLASTIC
529SS40	C1	INDETERMINANT	S31	BRAIN	SS40	CORPUS CALLOSUM	D940	MENINGIOMA \ FIBROBLASTIC
529SS35	C1	INDETERMINANT	S31	BRAIN	SS35	CHOROID PLEXUS	D940	MENINGIOMA \ FIBROBLASTIC
529SS31	C1	INDETERMINANT	S31	BRAIN	SS31	CEREBRAL MENINGES	D940	MENINGIOMA \ FIBROBLASTIC
529SS29	C1	INDETERMINANT	S31	BRAIN	SS29	CEREBELLUM	D940	MENINGIOMA \ FIBROBLASTIC
529SS17	C1	INDETERMINANT	S31	BRAIN	SS17	BASAL GANGLIA	D940	MENINGIOMA \ FIBROBLASTIC
530SS192	C1	INDETERMINANT	S31	BRAIN	SS192	VENTRICLE	D941	MENINGIOMA \ PAPILLARY
530SS177	C1	INDETERMINANT	S31	BRAIN	SS177	THALAMUS	D941	MENINGIOMA \ PAPILLARY
530SS176	C1	INDETERMINANT	S31	BRAIN	SS176	TEMPORAL	D941	MENINGIOMA \ PAPILLARY
530SS126	C1	INDETERMINANT	S31	BRAIN	SS126	PARIETAL	D941	MENINGIOMA \ PAPILLARY
530SS119	C1	INDETERMINANT	S31	BRAIN	SS119	OCCIPITAL	D941	MENINGIOMA \ PAPILLARY
530SS82	C1	INDETERMINANT	S31	BRAIN	SS82	HYPOTHALAMUS	D941	MENINGIOMA \ PAPILLARY
530SS78	C1	INDETERMINANT	S31	BRAIN	SS78	HIPPOCAMPUS	D941	MENINGIOMA \ PAPILLARY
530SS67	C1	INDETERMINANT	S31	BRAIN	SS67	FRONTAL	D941	MENINGIOMA \ PAPILLARY
530SS49	C1	INDETERMINANT	S31	BRAIN	SS49	DURA/MENINGES	D941	MENINGIOMA \ PAPILLARY
